customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
BH-11710,24,8,4741353.0,5,4,5,545,Champions
BK-11260,78,6,126068.0,3,3,1,331,Potential Loyalist
BM-11140,308,4,9134567.0,1,1,5,115,Lost Customers
BM-11575,101,6,392119.0,3,3,2,332,Potential Loyalist
BM-11650,34,11,1415241.0,4,5,4,454,Champions
BM-11785,219,10,1192754.0,2,5,4,254,At Risk
BN-11470,25,4,105528.0,5,1,1,511,Recent Customers
BN-11515,10,5,110955.0,5,2,1,521,Loyal Customers
BO-11350,138,5,563516.0,2,2,2,222,Lost Customers
BO-11425,76,2,13083.0,3,1,1,311,Recent Customers
BP-11050,84,5,44477.0,3,2,1,321,Potential Loyalist
BP-11095,18,12,869519.0,5,5,3,553,Loyal Customers
BP-11155,90,6,209468.0,3,3,1,331,Potential Loyalist
BP-11185,2,9,2118528.0,5,5,5,555,Champions
BP-11230,40,5,118149.0,4,2,1,421,Loyal Customers
BP-11290,13,7,1737733.0,5,3,4,534,Loyal Customers
BS-11365,559,5,1845660.0,1,2,4,124,Lost Customers
BS-11380,29,5,2675588.0,4,2,5,425,Loyal Customers
BS-11590,36,6,1422601.0,4,3,4,434,Loyal Customers
BS-11665,583,3,2145596.0,1,1,5,115,Lost Customers
BS-11755,2,7,1296496.0,5,3,4,534,Loyal Customers
BS-11800,266,2,77699.0,1,1,1,111,Lost Customers
BT-11305,337,5,261001.0,1,2,1,121,Lost Customers
BT-11395,303,6,838116.0,1,3,3,133,At Risk
BT-11440,561,4,512841.0,1,1,2,112,Lost Customers
BT-11485,660,2,66221.0,1,1,1,111,Lost Customers
BT-11530,92,5,2001554.0,3,2,5,325,Potential Loyalist
BT-11680,21,7,375882.0,5,3,2,532,Loyal Customers
BV-11245,335,5,795119.0,1,2,3,123,Lost Customers
BW-11065,213,3,372358.0,2,1,2,212,Lost Customers
BW-11110,122,8,4190918.0,2,4,5,245,At Risk
BW-11200,204,6,1316657.0,2,3,4,234,At Risk
CA-11965,97,6,4047211.0,3,3,5,335,Potential Loyalist
CA-12055,402,5,1020042.0,1,2,3,123,Lost Customers
CA-12265,57,9,3731502.0,3,5,5,355,Potential Loyalist
CA-12310,14,4,212597.0,5,1,1,511,Recent Customers
CA-12775,121,7,1836484.0,2,3,4,234,At Risk
CB-12025,48,10,2859620.0,4,5,5,455,Champions
CB-12415,27,8,1605193.0,5,4,4,544,Champions
CB-12535,198,8,6231284.0,2,4,5,245,At Risk
CC-12100,458,6,1060134.0,1,3,3,133,At Risk
CC-12145,107,7,2054311.0,2,3,5,235,At Risk
CC-12220,21,12,1536392.0,5,5,4,554,Champions
CC-12370,44,5,9361086.0,4,2,5,425,Loyal Customers
CC-12430,1,10,1162147.0,5,5,4,554,Champions
CC-12475,40,9,193725.0,4,5,1,451,Loyal Customers
CC-12550,28,3,73008.0,4,1,1,411,Recent Customers
CC-12610,35,7,909822.0,4,3,3,433,Loyal Customers
CC-12670,30,7,10045850.0,4,3,5,435,Loyal Customers
CC-12685,800,4,1528028.0,1,1,4,114,Lost Customers
CD-11920,41,5,366727.0,4,2,2,422,Loyal Customers
CD-11980,55,3,352702.0,3,1,2,312,Recent Customers
CD-12280,43,2,377863.0,4,1,2,412,Recent Customers
CD-12790,400,5,748656.0,1,2,3,123,Lost Customers
CG-12040,50,6,790645.0,4,3,3,433,Loyal Customers
CG-12520,339,3,237926.0,1,1,1,111,Lost Customers
CH-12070,692,3,1240335.0,1,1,4,114,Lost Customers
CJ-11875,366,1,1652.0,1,1,1,111,Lost Customers
CJ-12010,190,8,4659540.0,2,4,5,245,At Risk
CK-12205,40,13,2405776.0,4,5,5,455,Champions
CK-12325,121,5,429497.0,2,2,2,222,Lost Customers
CK-12595,44,11,555569.0,4,5,2,452,Loyal Customers
CK-12760,83,9,519776.0,3,5,2,352,Potential Loyalist
CL-11890,107,4,273427.0,2,1,2,212,Lost Customers
CL-12565,285,12,2733152.0,1,5,5,155,At Risk
CL-12700,106,5,710321.0,2,2,3,223,Lost Customers
CM-11815,132,6,839264.0,2,3,3,233,At Risk
CM-11935,709,2,533784.0,1,1,2,112,Lost Customers
CM-12115,9,4,166161.0,5,1,1,511,Recent Customers
CM-12160,27,6,620940.0,5,3,2,532,Loyal Customers
CM-12190,9,6,322766.0,5,3,2,532,Loyal Customers
CM-12235,386,5,1526348.0,1,2,4,124,Lost Customers
CM-12385,38,4,2921410.0,4,1,5,415,Recent Customers
CM-12445,437,3,140498.0,1,1,1,111,Lost Customers
CM-12655,28,6,5577020.0,4,3,5,435,Loyal Customers
CM-12715,1036,4,14798847.0,1,1,5,115,Lost Customers
CP-12085,83,8,954958.0,3,4,3,343,Potential Loyalist
CP-12340,161,8,4913485.0,2,4,5,245,At Risk
CR-12580,58,4,1946262.0,3,1,4,314,Recent Customers
CR-12625,471,3,21562.0,1,1,1,111,Lost Customers
CR-12730,79,4,683891.0,3,1,3,313,Recent Customers
CR-12820,86,3,1416047.0,3,1,4,314,Recent Customers
CS-11845,92,5,1113723.0,3,2,3,323,Potential Loyalist
CS-11860,163,6,513818.0,2,3,2,232,At Risk
CS-11950,26,11,2625787.0,5,5,5,555,Champions
CS-12130,490,4,484320.0,1,1,2,112,Lost Customers
CS-12175,233,5,100968.0,1,2,1,121,Lost Customers
CS-12250,27,12,536553.0,5,5,2,552,Loyal Customers
CS-12355,7,11,1295926.0,5,5,4,554,Champions
CS-12400,3,9,8447918.0,5,5,5,555,Champions
CS-12460,28,2,68226.0,4,1,1,411,Recent Customers
CS-12490,425,4,6125414.0,1,1,5,115,Lost Customers
CS-12505,59,6,5076489.0,3,3,5,335,Potential Loyalist
CT-11995,97,8,1608110.0,3,4,4,344,Potential Loyalist
CV-12295,255,5,1115624.0,1,2,3,123,Lost Customers
CV-12805,6,9,4035688.0,5,5,5,555,Champions
CW-11905,23,6,252468.0,5,3,1,531,Loyal Customers
CY-12745,61,8,1820998.0,3,4,4,344,Potential Loyalist
Co-12640,550,5,99683.0,1,2,1,121,Lost Customers
DA-13450,353,4,72484.0,1,1,1,111,Lost Customers
DB-12910,22,8,1191013.0,5,4,4,544,Champions
DB-12970,242,5,2695670.0,1,2,5,125,Lost Customers
DB-13060,17,7,1655318.0,5,3,4,534,Loyal Customers
DB-13120,49,7,563452.0,4,3,2,432,Loyal Customers
DB-13210,10,10,1549820.0,5,5,4,554,Champions
DB-13270,54,8,1493450.0,4,4,4,444,Loyal Customers
DB-13360,265,5,584144.0,1,2,2,122,Lost Customers
DB-13405,188,4,235314.0,2,1,1,211,Lost Customers
DB-13555,108,7,7489325.0,2,3,5,235,At Risk
DB-13615,34,7,1234157.0,4,3,4,434,Loyal Customers
DB-13660,13,7,807307.0,5,3,3,533,Loyal Customers
DC-12850,38,9,3009603.0,4,5,5,455,Champions
DC-13285,24,5,922096.0,5,2,3,523,Loyal Customers
DD-13570,42,6,143821.0,4,3,1,431,Loyal Customers
DE-13255,720,5,216886.0,1,2,1,121,Lost Customers
DF-13135,701,3,1566314.0,1,1,4,114,Lost Customers
DG-13300,33,5,1249901.0,4,2,4,424,Loyal Customers
DH-13075,278,6,1646261.0,1,3,4,134,At Risk
DH-13675,777,4,831911.0,1,1,3,113,Lost Customers
DJ-13420,638,4,70311.0,1,1,1,111,Lost Customers
DJ-13510,49,8,1866612.0,4,4,4,444,Loyal Customers
DJ-13630,13,3,1657810.0,5,1,4,514,Recent Customers
DK-12835,22,12,607438.0,5,5,2,552,Loyal Customers
DK-12895,46,5,1361028.0,4,2,4,424,Loyal Customers
DK-12985,8,5,358559.0,5,2,2,522,Loyal Customers
DK-13090,43,7,1731225.0,4,3,4,434,Loyal Customers
DK-13150,11,2,490113.0,5,1,2,512,Recent Customers
DK-13225,11,9,1719840.0,5,5,4,554,Champions
DK-13375,20,8,635064.0,5,4,2,542,Loyal Customers
DL-12865,101,8,1246396.0,3,4,4,344,Potential Loyalist
DL-12925,58,6,304090.0,3,3,2,332,Potential Loyalist
DL-13315,23,8,467673.0,5,4,2,542,Loyal Customers
DL-13330,58,4,71759.0,3,1,1,311,Recent Customers
DL-13495,77,8,1868166.0,3,4,4,344,Potential Loyalist
DM-12955,115,7,1123755.0,2,3,3,233,At Risk
DM-13015,58,7,2086816.0,3,3,5,335,Potential Loyalist
DM-13345,23,8,996859.0,5,4,3,543,Loyal Customers
DM-13525,482,3,346040.0,1,1,2,112,Lost Customers
DN-13690,218,7,169681.0,2,3,1,231,At Risk
DO-13435,134,9,4130482.0,2,5,5,255,At Risk
DO-13645,27,7,540890.0,5,3,2,532,Loyal Customers
DP-13000,127,9,366249.0,2,5,2,252,At Risk
DP-13105,7,8,1967925.0,5,4,4,544,Champions
DP-13165,813,2,113076.0,1,1,1,111,Lost Customers
DP-13390,359,9,5001375.0,1,5,5,155,At Risk
DR-12880,4,9,3614005.0,5,5,5,555,Champions
DR-12940,51,8,1642889.0,4,4,4,444,Loyal Customers
DS-13030,94,4,890635.0,3,1,3,313,Recent Customers
DS-13180,24,9,3713897.0,5,5,5,555,Champions
DV-13045,20,5,1066374.0,5,2,3,523,Loyal Customers
DV-13465,30,6,1493662.0,4,3,4,434,Loyal Customers
DW-13195,70,6,398758.0,3,3,2,332,Potential Loyalist
DW-13480,218,5,1317658.0,2,2,4,224,Lost Customers
DW-13540,99,5,122392.0,3,2,1,321,Potential Loyalist
DW-13585,243,7,400416.0,1,3,2,132,At Risk
Dl-13600,120,5,679462.0,2,2,3,223,Lost Customers
Dp-13240,85,11,3834534.0,3,5,5,355,Potential Loyalist
EA-14035,153,13,1152014.0,2,5,4,254,At Risk
EB-13705,49,9,3610508.0,4,5,5,455,Champions
EB-13750,36,10,2049043.0,4,5,5,455,Champions
EB-13840,91,5,999814.0,3,2,3,323,Potential Loyalist
EB-13870,101,10,1785796.0,3,5,4,354,Potential Loyalist
EB-13930,162,5,584672.0,2,2,2,222,Lost Customers
EB-13975,1,4,1063043.0,5,1,3,513,Recent Customers
EB-14110,114,6,2261540.0,2,3,5,235,At Risk
EB-14170,83,6,142191.0,3,3,1,331,Potential Loyalist
EC-14050,54,5,51127.0,4,2,1,421,Loyal Customers
ED-13885,136,8,2783487.0,2,4,5,245,At Risk
EG-13900,23,5,1237156.0,5,2,4,524,Loyal Customers
EH-13765,136,12,1705080.0,2,5,4,254,At Risk
EH-13945,218,8,345348.0,2,4,2,242,At Risk
EH-13990,406,6,621902.0,1,3,2,132,At Risk
EH-14005,3,7,628356.0,5,3,2,532,Loyal Customers
EH-14125,153,10,2173473.0,2,5,5,255,At Risk
EH-14185,106,6,761047.0,2,3,3,233,At Risk
EJ-13720,303,4,800708.0,1,1,3,113,Lost Customers
EJ-14155,58,5,1116980.0,3,2,3,323,Potential Loyalist
EK-13795,45,4,148220.0,4,1,1,411,Recent Customers
EL-13735,78,2,12428.0,3,1,1,311,Recent Customers
EM-13810,133,5,2354025.0,2,2,5,225,Lost Customers
EM-13825,56,8,675840.0,3,4,3,343,Potential Loyalist
EM-13960,152,5,191348.0,2,2,1,221,Lost Customers
EM-14065,48,4,69555.0,4,1,1,411,Recent Customers
EM-14095,114,4,442461.0,2,1,2,212,Lost Customers
EM-14140,49,6,1207874.0,4,3,4,434,Loyal Customers
EM-14200,159,3,315513.0,2,1,2,212,Lost Customers
EN-13780,288,4,356958.0,1,1,2,112,Lost Customers
EP-13915,13,17,11809730.0,5,5,5,555,Champions
ER-13855,422,3,308159.0,1,1,2,112,Lost Customers
ES-14020,41,5,3265973.0,4,2,5,425,Loyal Customers
ES-14080,29,9,1059877.0,4,5,3,453,Loyal Customers
FA-14230,98,7,1249754.0,3,3,4,334,Potential Loyalist
FC-14245,71,7,822836.0,3,3,3,333,Potential Loyalist
FC-14335,185,7,1483288.0,2,3,4,234,At Risk
FG-14260,35,7,571605.0,4,3,2,432,Loyal Customers
FH-14275,38,10,2462329.0,4,5,5,455,Champions
FH-14350,213,4,401021.0,2,1,2,212,Lost Customers
FH-14365,6,8,923662.0,5,4,3,543,Loyal Customers
FM-14215,8,10,419560.0,5,5,2,552,Loyal Customers
FM-14290,37,9,409600.0,4,5,2,452,Loyal Customers
FM-14380,146,9,1188719.0,2,5,4,254,At Risk
FO-14305,39,10,1083872.0,4,5,3,453,Loyal Customers
FP-14320,24,8,3329338.0,5,4,5,545,Champions
FW-14395,363,3,4051.0,1,1,1,111,Lost Customers
GA-14515,150,8,1158918.0,2,4,4,244,At Risk
GA-14725,6,11,484783.0,5,5,2,552,Loyal Customers
GB-14530,63,11,523234.0,3,5,2,352,Potential Loyalist
GB-14575,14,5,555039.0,5,2,2,522,Loyal Customers
GD-14590,6,4,756977.0,5,1,3,513,Recent Customers
GG-14650,44,9,1244674.0,4,5,4,454,Champions
GH-14410,76,9,2371276.0,3,5,5,355,Potential Loyalist
GH-14425,51,4,4030970.0,4,1,5,415,Recent Customers
GH-14485,388,2,1123914.0,1,1,3,113,Lost Customers
GH-14665,3,2,819788.0,5,1,3,513,Recent Customers
GK-14620,113,9,4000913.0,2,5,5,255,At Risk
GM-14440,84,7,942148.0,3,3,3,333,Potential Loyalist
GM-14455,17,6,1481142.0,5,3,4,534,Loyal Customers
GM-14500,107,10,370046.0,2,5,2,252,At Risk
GM-14680,153,6,960248.0,2,3,3,233,At Risk
GM-14695,118,3,2039899.0,2,1,5,215,Lost Customers
GP-14740,766,2,14212.0,1,1,1,111,Lost Customers
GR-14560,1136,2,126413.0,1,1,1,111,Lost Customers
GT-14635,57,3,1985108.0,3,1,4,314,Recent Customers
GT-14710,37,11,3880500.0,4,5,5,455,Champions
GT-14755,35,4,132926.0,4,1,1,411,Recent Customers
GW-14605,29,7,1325856.0,4,3,4,434,Loyal Customers
GZ-14470,8,9,502817.0,5,5,2,552,Loyal Customers
GZ-14545,158,4,570256.0,2,1,2,212,Lost Customers
HA-14905,70,7,1309713.0,3,3,4,334,Potential Loyalist
HA-14920,21,8,1456116.0,5,4,4,544,Champions
HD-14785,770,3,64556.0,1,1,1,111,Lost Customers
HE-14800,13,4,215237.0,5,1,1,511,Recent Customers
HF-14995,22,7,1476105.0,5,4,4,544,Champions
HG-14845,55,5,672876.0,3,2,3,323,Potential Loyalist
HG-14965,24,12,481915.0,5,5,2,552,Loyal Customers
HG-15025,7,7,721454.0,5,4,3,543,Loyal Customers
HH-15010,73,2,40963.0,3,1,1,311,Recent Customers
HJ-14875,127,5,108683.0,2,2,1,221,Lost Customers
HK-14890,152,8,1055187.0,2,4,3,243,At Risk
HL-15040,44,6,1297939.0,4,3,4,434,Loyal Customers
HM-14860,3,10,10803077.0,5,5,5,555,Champions
HM-14980,248,4,157090.0,1,1,1,111,Lost Customers
HP-14815,31,7,368577.0,4,4,2,442,Loyal Customers
HR-14770,14,5,264036.0,5,2,2,522,Loyal Customers
HR-14830,160,7,1145669.0,2,4,4,244,At Risk
HW-14935,118,8,1579379.0,2,4,4,244,At Risk
HZ-14950,36,5,197192.0,4,2,1,421,Loyal Customers
IG-15085,72,4,75667.0,3,1,1,311,Recent Customers
IL-15100,143,7,645703.0,2,4,2,242,At Risk
IM-15055,410,3,287263.0,1,1,2,112,Lost Customers
IM-15070,391,7,1046056.0,1,4,3,143,At Risk
JA-15970,93,8,5892022.0,3,4,5,345,Potential Loyalist
JB-15400,8,10,948881.0,5,5,3,553,Loyal Customers
JB-15925,738,3,675318.0,1,1,3,113,Lost Customers
JB-16000,44,7,3309431.0,4,4,5,445,Champions
JB-16045,8,5,324590.0,5,2,2,522,Loyal Customers
JC-15340,115,4,19261.0,2,1,1,211,Lost Customers
JC-15385,176,1,121712.0,2,1,1,211,Lost Customers
JC-15775,159,9,2135197.0,2,5,5,255,At Risk
JC-16105,58,5,527412.0,3,2,2,322,Potential Loyalist
JD-15790,118,5,1935380.0,2,2,4,224,Lost Customers
JD-15895,395,11,1486355.0,1,5,4,154,At Risk
JD-16015,113,6,137930.0,2,3,1,231,At Risk
JD-16060,301,3,165828.0,1,1,1,111,Lost Customers
JD-16150,42,8,5833897.0,4,4,5,445,Champions
JE-15475,194,6,235827.0,2,3,1,231,At Risk
JE-15610,49,7,3194847.0,4,4,5,445,Champions
JE-15715,47,10,5503680.0,4,5,5,455,Champions
JE-15745,52,13,2118507.0,4,5,5,455,Champions
JE-16165,21,3,288560.0,5,1,2,512,Recent Customers
JF-15190,66,7,964506.0,3,4,3,343,Potential Loyalist
JF-15295,226,5,518210.0,1,2,2,122,Lost Customers
JF-15355,106,6,1402642.0,2,3,4,234,At Risk
JF-15415,3,6,482708.0,5,3,2,532,Loyal Customers
JF-15490,122,11,829676.0,2,5,3,253,At Risk
JF-15565,55,8,2387613.0,3,4,5,345,Potential Loyalist
JG-15115,759,3,652330.0,1,1,3,113,Lost Customers
JG-15160,2,11,2280527.0,5,5,5,555,Champions
JG-15310,3,6,757911.0,5,3,3,533,Loyal Customers
JG-15805,224,6,239233.0,2,3,1,231,At Risk
JH-15430,6,4,168422.0,5,1,1,511,Recent Customers
JH-15820,175,6,243151.0,2,3,1,231,At Risk
JH-15910,42,7,669884.0,4,4,3,443,Loyal Customers
JH-15985,30,6,6612153.0,4,3,5,435,Loyal Customers
JH-16180,405,4,2256394.0,1,1,5,115,Lost Customers
JJ-15445,484,5,105368.0,1,2,1,121,Lost Customers
JJ-15760,754,2,15342.0,1,1,1,111,Lost Customers
JK-15205,62,5,709341.0,3,2,3,323,Potential Loyalist
JK-15325,288,3,39850.0,1,1,1,111,Lost Customers
JK-15370,45,8,2257283.0,4,4,5,445,Champions
JK-15625,62,7,1335707.0,3,4,4,344,Potential Loyalist
JK-15640,181,9,238483.0,2,5,1,251,At Risk
JK-15730,85,10,1819071.0,3,5,4,354,Potential Loyalist
JK-16090,29,3,710006.0,4,1,3,413,Recent Customers
JK-16120,118,10,756185.0,2,5,3,253,At Risk
JL-15130,9,6,1088416.0,5,3,3,533,Loyal Customers
JL-15175,7,5,1442355.0,5,2,4,524,Loyal Customers
JL-15235,120,5,1716494.0,2,2,4,224,Lost Customers
JL-15505,50,6,799611.0,4,3,3,433,Loyal Customers
JL-15835,22,11,5757771.0,5,5,5,555,Champions
JL-15850,615,6,1309268.0,1,3,4,134,At Risk
JM-15250,38,6,1343759.0,4,3,4,434,Loyal Customers
JM-15265,38,5,333960.0,4,2,2,422,Loyal Customers
JM-15535,103,7,614248.0,3,4,2,342,Potential Loyalist
JM-15580,1,5,213057.0,5,2,1,521,Loyal Customers
JM-15655,9,5,638732.0,5,2,2,522,Loyal Customers
JM-15865,110,7,1332429.0,2,4,4,244,At Risk
JM-16195,58,10,322170.0,3,5,2,352,Potential Loyalist
JO-15145,58,9,1261044.0,3,5,4,354,Potential Loyalist
JO-15280,93,6,635194.0,3,3,2,332,Potential Loyalist
JO-15550,216,5,988121.0,2,2,3,223,Lost Customers
JP-15460,38,7,308407.0,4,4,2,442,Loyal Customers
JP-15520,9,7,1199843.0,5,4,4,544,Champions
JP-16135,103,9,647429.0,3,5,3,353,Potential Loyalist
JR-15670,594,2,646718.0,1,1,3,113,Lost Customers
JR-15700,69,1,86388.0,3,1,1,311,Recent Customers
JR-16210,34,5,856033.0,4,2,3,423,Loyal Customers
JS-15595,120,4,197965.0,2,1,1,211,Lost Customers
JS-15685,43,4,904102.0,4,1,3,413,Recent Customers
JS-15880,535,5,730692.0,1,2,3,123,Lost Customers
JS-15940,464,5,414989.0,1,2,2,122,Lost Customers
JS-16030,29,6,889672.0,4,3,3,433,Loyal Customers
JW-15220,43,6,2330453.0,4,3,5,435,Loyal Customers
JW-15955,6,7,315925.0,5,4,2,542,Loyal Customers
JW-16075,462,4,476531.0,1,1,2,112,Lost Customers
KA-16525,37,7,604035.0,4,4,2,442,Loyal Customers
KB-16240,5,7,366890.0,5,4,2,542,Loyal Customers
KB-16315,297,9,1251836.0,1,5,4,154,At Risk
KB-16405,118,3,337303.0,2,1,2,212,Lost Customers
KB-16585,231,12,1493274.0,1,5,4,154,At Risk
KB-16600,2,7,90132.0,5,4,1,541,Loyal Customers
KC-16255,408,6,230702.0,1,3,1,131,At Risk
KC-16540,98,4,485643.0,3,1,2,312,Recent Customers
KC-16675,58,4,798245.0,3,1,3,313,Recent Customers
KD-16270,485,5,2035440.0,1,2,5,125,Lost Customers
KD-16345,42,6,966743.0,4,3,3,433,Loyal Customers
KD-16495,113,12,1738372.0,2,5,4,254,At Risk
KD-16615,290,5,621026.0,1,2,2,122,Lost Customers
KE-16420,27,8,2625910.0,5,4,5,545,Champions
KF-16285,98,7,7169857.0,3,4,5,345,Potential Loyalist
KH-16330,41,8,1741914.0,4,4,4,444,Loyal Customers
KH-16360,2,6,1425379.0,5,3,4,534,Loyal Customers
KH-16510,23,7,4540192.0,5,4,5,545,Champions
KH-16630,59,9,681351.0,3,5,3,353,Potential Loyalist
KH-16690,3,7,861258.0,5,4,3,543,Loyal Customers
KL-16555,17,8,3512957.0,5,4,5,545,Champions
KL-16645,48,12,3566569.0,4,5,5,455,Champions
KM-16225,15,6,224114.0,5,3,1,531,Loyal Customers
KM-16375,57,8,2036476.0,3,4,5,345,Potential Loyalist
KM-16660,16,5,238132.0,5,2,1,521,Loyal Customers
KM-16720,29,8,2602880.0,4,4,5,445,Champions
KN-16390,20,9,1989666.0,5,5,4,554,Champions
KN-16450,53,5,1893376.0,4,2,4,424,Loyal Customers
KN-16705,99,8,351709.0,3,4,2,342,Potential Loyalist
KS-16300,296,3,79634.0,1,1,1,111,Lost Customers
KT-16465,392,7,1488787.0,1,4,4,144,At Risk
KT-16480,101,10,3768075.0,3,5,5,355,Potential Loyalist
KW-16435,97,5,603625.0,3,2,2,322,Potential Loyalist
KW-16570,772,4,95063.0,1,1,1,111,Lost Customers
LA-16780,155,11,1917966.0,2,5,4,254,At Risk
LB-16735,49,3,6808.0,4,1,1,411,Recent Customers
LB-16795,153,8,1670571.0,2,4,4,244,At Risk
LC-16870,28,8,995246.0,4,4,3,443,Loyal Customers
LC-16885,17,12,6519703.0,5,5,5,555,Champions
LC-16930,42,8,2037827.0,4,4,5,445,Champions
LC-16960,437,4,3130571.0,1,1,5,115,Lost Customers
LC-17050,55,5,941624.0,3,2,3,323,Potential Loyalist
LC-17140,14,9,642449.0,5,5,2,552,Loyal Customers
LD-16855,553,1,5304.0,1,1,1,111,Lost Customers
